x,y
1871-01-31,37.0
1871-02-28,37.5
1871-03-31,38.4
1871-04-30,39.6
1871-05-31,40.5
1871-06-30,40.2
1871-07-31,39.6
1871-08-31,39.9
1871-09-30,40.3
1871-10-31,38.3
1871-11-30,38.8
1871-12-31,39.6
1872-01-31,40.5
1872-02-28,40.8
1872-03-31,42.1
1872-04-30,43.3
1872-05-31,43.3
1872-06-30,42.9
1872-07-31,42.6
1872-08-31,41.9
1872-09-30,41.4
1872-10-31,41.5
1872-11-30,41.4
1872-12-31,42.3
1873-01-31,42.7
1873-02-28,43.1
1873-03-31,42.7
1873-04-30,41.9
1873-05-31,42.1
1873-06-30,41.6
1873-07-31,41.5
1873-08-31,41.5
1873-09-30,38.3
1873-10-31,35.0
1873-11-30,33.7
1873-12-31,36.9
1874-01-31,39.0
1874-02-28,40.0
1874-03-31,39.5
1874-04-30,38.4
1874-05-31,37.5
1874-06-30,37.3
1874-07-31,37.3
1874-08-31,37.4
1874-09-30,37.9
1874-10-31,37.9
1874-11-30,38.0
1874-12-31,38.0
1875-01-31,38.0
1875-02-28,37.8
1875-03-31,38.2
1875-04-30,38.8
1875-05-31,37.3
1875-06-30,36.5
1875-07-31,36.6
1875-08-31,36.7
1875-09-30,36.4
1875-10-31,35.9
1875-11-30,36.4
1875-12-31,36.4
1876-01-31,37.2
1876-02-28,37.8
1876-03-31,37.6
1876-04-30,36.2
1876-05-31,34.8
1876-06-30,34.6
1876-07-31,34.2
1876-08-31,32.7
1876-09-30,30.8
1876-10-31,30.6
1876-11-30,30.1
1876-12-31,29.9
1877-01-31,29.7
1877-02-28,27.9
1877-03-31,26.5
1877-04-30,24.6
1877-05-31,24.6
1877-06-30,22.9
1877-07-31,23.8
1877-08-31,25.3
1877-09-30,26.9
1877-10-31,27.7
1877-11-30,27.1
1877-12-31,27.0
1878-01-31,27.0
1878-02-28,26.6
1878-03-31,27.0
1878-04-30,27.8
1878-05-31,27.9
1878-06-30,28.5
1878-07-31,29.0
1878-08-31,28.7
1878-09-30,29.4
1878-10-31,29.0
1878-11-30,28.9
1878-12-31,28.7
1879-01-31,29.9
1879-02-28,30.9
1879-03-31,30.5
1879-04-30,31.4
1879-05-31,32.9
1879-06-30,33.3
1879-07-31,33.8
1879-08-31,34.1
1879-09-30,35.3
1879-10-31,39.1
1879-11-30,41.2
1879-12-31,41.1
1880-01-31,42.7
1880-02-28,43.5
1880-03-31,44.1
1880-04-30,43.3
1880-05-31,39.9
1880-06-30,40.0
1880-07-31,41.8
1880-08-31,43.5
1880-09-30,43.4
1880-10-31,44.6
1880-11-30,46.9
1880-12-31,48.9
1881-01-31,51.7
1881-02-28,51.5
1881-03-31,52.2
1881-04-30,52.1
1881-05-31,54.3
1881-06-30,54.9
1881-07-31,53.1
1881-08-31,51.8
1881-09-30,52.3
1881-10-31,51.4
1881-11-30,51.7
1881-12-31,50.3
1882-01-31,49.5
1882-02-28,48.5
1882-03-31,48.4
1882-04-30,48.4
1882-05-31,47.7
1882-06-30,47.5
1882-07-31,50.2
1882-08-31,51.6
1882-09-30,52.2
1882-10-31,50.8
1882-11-30,48.7
1882-12-31,48.8
1883-01-31,48.6
1883-02-28,47.4
1883-03-31,47.9
1883-04-30,49.0
1883-05-31,48.2
1883-06-30,48.7
1883-07-31,47.7
1883-08-31,45.6
1883-09-30,46.1
1883-10-31,45.0
1883-11-30,45.6
1883-12-31,44.6
1884-01-31,43.3
1884-02-28,44.5
1884-03-31,44.2
1884-04-30,42.4
1884-05-31,38.9
1884-06-30,36.2
1884-07-31,37.3
1884-08-31,39.7
1884-09-30,38.2
1884-10-31,37.1
1884-11-30,36.2
1884-12-31,36.2
1885-01-31,35.4
1885-02-28,36.3
1885-03-31,36.4
1885-04-30,36.4
1885-05-31,36.1
1885-06-30,35.8
1885-07-31,37.3
1885-08-31,39.3
1885-09-30,38.9
1885-10-31,41.1
1885-11-30,43.7
1885-12-31,43.4
1886-01-31,43.5
1886-02-28,44.1
1886-03-31,43.4
1886-04-30,42.8
1886-05-31,41.9
1886-06-30,43.7
1886-07-31,44.5
1886-08-31,44.8
1886-09-30,45.9
1886-10-31,47.2
1886-11-30,48.3
1886-12-31,47.1
1887-01-31,46.6
1887-02-28,46.3
1887-03-31,47.3
1887-04-30,48.5
1887-05-31,49.2
1887-06-30,47.8
1887-07-31,46.6
1887-08-31,45.4
1887-09-30,44.9
1887-10-31,43.4
1887-11-30,44.1
1887-12-31,44.0
1888-01-31,44.4
1888-02-28,44.0
1888-03-31,42.4
1888-04-30,42.6
1888-05-31,43.2
1888-06-30,41.7
1888-07-31,42.9
1888-08-31,43.7
1888-09-30,44.9
1888-10-31,44.7
1888-11-30,43.6
1888-12-31,43.0
1889-01-31,43.6
1889-02-28,44.2
1889-03-31,43.4
1889-04-30,43.3
1889-05-31,44.5
1889-06-30,45.2
1889-07-31,44.2
1889-08-31,44.9
1889-09-30,45.9
1889-10-31,45.2
1889-11-30,44.7
1889-12-31,44.4
1890-01-31,44.9
1890-02-28,44.5
1890-03-31,44.1
1890-04-30,45.0
1890-05-31,47.0
1890-06-30,46.6
1890-07-31,46.3
1890-08-31,45.2
1890-09-30,44.5
1890-10-31,42.4
1890-11-30,39.4
1890-12-31,38.3
1891-01-31,40.3
1891-02-28,40.9
1891-03-31,40.1
1891-04-30,41.5
1891-05-31,41.4
1891-06-30,40.4
1891-07-31,39.8
1891-08-31,41.2
1891-09-30,44.6
1891-10-31,44.6
1891-11-30,43.8
1891-12-31,45.3
1892-01-31,45.9
1892-02-28,46.0
1892-03-31,46.6
1892-04-30,46.5
1892-05-31,46.5
1892-06-30,46.3
1892-07-31,46.4
1892-08-31,47.0
1892-09-30,45.7
1892-10-31,46.7
1892-11-30,46.5
1892-12-31,45.9
1893-01-31,46.9
1893-02-28,45.9
1893-03-31,44.2
1893-04-30,44.2
1893-05-31,40.3
1893-06-30,38.5
1893-07-31,34.8
1893-08-31,34.1
1893-09-30,36.4
1893-10-31,37.5
1893-11-30,38.0
1893-12-31,36.9
1894-01-31,36.0
1894-02-28,36.5
1894-03-31,37.6
1894-04-30,38.1
1894-05-31,36.7
1894-06-30,36.2
1894-07-31,35.5
1894-08-31,36.9
1894-09-30,37.5
